Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 20 Enplanements,CY 19 Enplanements,percent_change,
378,CE,IA,ALO,Waterloo,Waterloo Regional,CS,-,"7,010","23,503",-70.17%,
379,NM,MT,SDY,Sidney,Sidney-Richland Regional,CS,-,"6,965","10,202",-31.73%,
382,EA,PA,IPT,Williamsport,Williamsport Regional,CS,-,"6,847","20,442",-66.51%,
383,NM,OR,OTH,North Bend,Southwest Oregon Regional,CS,-,"6,785","13,393",-49.34%,
385,NM,WA,FHR,Friday Harbor,Friday Harbor,CS,-,"6,720","13,577",-50.50%,
386,SO,KY,PAH,Paducah,Barkley Regional,CS,-,"6,560","17,982",-63.52%,
387,GL,MI,APN,Alpena,Alpena County Regional,CS,-,"6,533","12,523",-47.83%,
389,AL,AK,CDB,Cold Bay,Cold Bay,CS,-,"6,323","8,004",-21.00%,
390,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,CS,-,"6,306","17,584",-64.14%,
391,GL,ND,JMS,Jamestown,Jamestown Regional,CS,-,"6,161","11,176",-44.87%,
393,AL,AK,YAK,Yakutat,Yakutat,CS,-,"5,959","12,808",-53.47%,
394,SO,AL,BFM,Mobile,Mobile Downtown,CS,-,"5,939","22,852",-74.01%,
395,GL,MN,INL,International Falls,Falls International-Einarson Field,CS,-,"5,884","17,744",-66.84%,
396,NM,UT,CDC,Cedar City,Cedar City Regional,CS,-,"5,883","24,252",-75.74%,
398,GL,IL,MWA,Marion,Veterans Airport of Southern Illinois,CS,-,"5,783","11,099",-47.90%,
399,NM,UT,VEL,Vernal,Vernal Regional,CS,-,"5,745","12,657",-54.61%,
401,NM,CO,CEZ,Cortez,Cortez Municipal,CS,-,"5,603","8,719",-35.74%,
402,GL,MI,MKG,Muskegon,Muskegon County,CS,-,"5,550","19,728",-71.87%,
403,WP,MP,GRO,Northern Islands (Municipality),Benjamin Taisacan Manglona International,CS,-,"5,456","11,372",-52.02%,
404,CE,KS,HYS,Hays,Hays Regional,CS,-,"5,388","14,758",-63.49%,
405,NM,CO,PUB,Pueblo,Pueblo Memorial,CS,-,"5,384","12,230",-55.98%,
408,NE,ME,PQI,Presque Isle,Presque Isle International,CS,-,"5,271","13,244",-60.20%,
410,EA,WV,BKW,Beckley,Raleigh County Memorial,CS,-,"5,002","1,769",182.76%,
412,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,CS,-,"4,929","10,033",-50.87%,
413,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,-,"4,742","10,044",-52.79%,
414,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,-,"4,718","7,676",-38.54%,
416,NM,MT,WYS,West Yellowstone,Yellowstone,CS,-,"4,602","8,988",-48.80%,
417,NM,WA,ORS,Eastsound,Orcas Island,CS,-,"4,595","9,205",-50.08%,
418,CE,MO,CGI,Cape Girardeau,Cape Girardeau Regional,CS,-,"4,573","11,838",-61.37%,
420,WP,CA,MCE,Merced,Merced Regional/Macready Field,CS,-,"4,499","6,816",-33.99%,
421,AL,AK,HNH,Hoonah,Hoonah,CS,-,"4,472","8,056",-44.49%,
424,AL,AK,HLA,Huslia,Huslia,CS,-,"4,382","3,290",33.19%,
