Rank,FAA Region,ST,Locid,City,Airport Name,Service Level,Hub,CY 14 Enplanements,CY 13 Enplanements,percent_change
414,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St Robert Regional Forney Field,CS,None,"8,281","8,325",-0.53%
415,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,"8,172","8,665",-5.69%
416,NE,MA,EWB,New Bedford,New Bedford Regional,CS,None,"8,159","10,604",-23.06%
418,EA,NJ,MMU,Morristown,Morristown Municipal,CS,None,"7,936","11,355",-30.11%
420,AL,AK,AKW,Klawock,Klawock,CS,None,"7,780","1,550",401.94%
421,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,"7,759","7,134",8.76%
422,CE,KS,LBL,Liberal,Liberal Mid-America Regional,CS,None,"7,734","11,101",-30.33%
423,NM,WY,RIW,Riverton,Riverton Regional,CS,None,"7,660","13,436",-42.99%
424,AL,AK,SGY,Skagway,Skagway,CS,None,"7,296","8,050",-9.37%
425,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,"7,148","7,441",-3.94%
427,NM,CO,PUB,Pueblo,Pueblo Memorial,CS,None,"6,785","6,742",0.64%
428,GL,IL,DEC,Decatur,Decatur,CS,None,"6,746","6,827",-1.19%
429,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,"6,692","6,439",3.93%
430,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,CS,None,"6,640","10,633",-37.55%
431,SO,MS,MEI,Meridian,Key Field,CS,None,"6,624","6,236",6.22%
432,CE,MO,CGI,Scott City,Cape Girardeau Regional,CS,None,"6,544","6,477",1.03%
433,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,"6,451","6,114",5.51%
434,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,"6,165","5,673",8.67%
435,AL,AK,ILI,Iliamna,Iliamna,CS,None,"6,092","5,688",7.10%
437,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,"5,962","4,067",46.59%
438,NM,WA,ORS,Eastsound,Orcas Island,CS,None,"5,950",802,641.90%
439,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,CS,None,"5,794","12,345",-53.07%
440,AL,AK,VAK,Chevak,Chevak,CS,None,"5,690","5,203",9.36%
441,SW,NM,FMN,Farmington,Four Corners Regional,CS,None,"5,678","14,263",-60.19%
442,NM,MT,WYS,West Yellowstone,Yellowstone,CS,None,"5,637","5,354",5.29%
443,CE,MO,IRK,Kirksville,Kirksville Regional,CS,None,"5,633","5,917",-4.80%
444,GL,MI,CVX,Charlevoix,Charlevoix Municipal,CS,None,"5,626","16,929",-66.77%
445,CE,KS,HYS,Hays,Hays Regional,CS,None,"5,621","8,726",-35.58%
447,CE,NE,BFF,Scottsbluff,Western Nebraska Regional/William B Heilig Field,CS,None,"5,594","10,172",-45.01%
448,SO,MS,TUP,Tupelo,Tupelo Regional,CS,None,"5,553","6,376",-12.91%
449,EA,NY,OGS,Ogdensburg,Ogdensburg International,CS,None,"5,507","5,392",2.13%
450,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,None,"5,486","8,323",-34.09%
451,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,"5,460","4,783",14.15%
452,NE,VT,RUT,Rutland,Rutland - Southern Vermont Regional,CS,None,"5,407","5,321",1.62%
453,NE,ME,AUG,Augusta,Augusta State,CS,None,"5,387","5,798",-7.09%
455,WP,HI,MUE,Kamuela,Waimea-Kohala,CS,None,"5,287",857,516.92%
456,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,None,"5,141","5,759",-10.73%
457,WP,HI,LUP,Kalaupapa,Kalaupapa,CS,None,"5,128","3,205",60.00%
459,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,None,"5,088","5,206",-2.27%
460,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,"5,056","4,864",3.95%
461,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,"5,042","3,152",59.96%
462,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,CS,None,"5,016","10,421",-51.87%
463,AL,AK,WLK,Selawik,Selawik,CS,None,"4,898","4,336",12.96%
464,EA,PA,JST,Johnstown,John Murtha Johnstown-Cambria County,CS,None,"4,856","6,186",-21.50%
465,NM,OR,LMT,Klamath Falls,Klamath Falls,CS,None,"4,800","13,443",-64.29%
